Class Time;Attendance Status;Stress Level (GSR);Sleep Hours;Anxiety Level;Mood Score;Risk Level;pre1;pre2;pre3;pre4;pre5;pre6;pre7;pre8;pre9;pre10;pre11;pre12;pre13;pre14;pre15
19:00:00;Late;0.92;7.6;6;6;Low;Graduate student;Male;Often (5-6 times a week);7-8 hours;Every night;Very poor;Always;Often;Often (3-4 times a week);Severe impact;Sometimes (3-4 times a week);Often (5-6 times a week);Every day;High stress;Average
19:00:00;Late;1.17;6;6;2;Medium;Graduate student;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Often;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Every day;Sometimes (3-4 times a week);High stress;Poor
20:00:00;Late;4.56;6.3;4;8;High;Third year;Female;Every night;More than 8 hours;Often (5-6 times a week);Poor;Always;Always;Often (3-4 times a week);Major impact;Often (5-6 times a week);Every day;Often (5-6 times a week);High stress;Below Average
22:00:00;Late;3.07;9;2;10;Low;Graduate student;Male;Every night;7-8 hours;Often (5-6 times a week);Poor;Often;Often;Often (3-4 times a week);Minor impact;Often (5-6 times a week);Every day;Often (5-6 times a week);High stress;Poor
17:00:00;Absent;3.93;7.4;9;4;High;Graduate student;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Often;Often;Often (3-4 times a week);Moderate impact;Often (5-6 times a week);Every day;Every day;Extremely high stress;Poor
17:00:00;Present;4.96;6.6;5;9;High;Third year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Poor;Often;Often;Often (3-4 times a week);Major impact;Every night;Every day;Every day;Extremely high stress;Average
21:00:00;Absent;2.93;6.8;4;5;High;Third year;Male;Every night;More than 8 hours;Often (5-6 times a week);Good;Often;Often;Often (3-4 times a week);Major impact;Every night;Every day;Every day;Low stress;Below Average
18:00:00;Absent;2.17;8.4;9;9;High;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Average;Always;Always;Often (3-4 times a week);Major impact;Often (5-6 times a week);Every day;Sometimes (3-4 times a week);High stress;Good
19:00:00;Absent;4.4;5.9;4;4;High;Second year;Female;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Poor;Sometimes;Always;Often (3-4 times a week);Severe impact;Every night;Sometimes (3-4 times a week);Every day;High stress;Below Average
20:00:00;Late;1.44;7.7;3;7;Low;Graduate student;Female;Often (5-6 times a week);7-8 hours;Every night;Very good;Sometimes;Often;Sometimes (1-2 times a week);Major impact;Sometimes (3-4 times a week);Every day;Every day;High stress;Below Average
